% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.19    0.024251        8083         3           wait4
  1.51    0.000396           4        91        51 newfstatat
  1.43    0.000377           5        63        53 openat
  1.30    0.000341           6        52        36 access
  1.04    0.000273         273         1           execve
  0.59    0.000156          52         3           vfork
  0.40    0.000105           4        24        16 readlink
  0.39    0.000102           6        16           close
  0.27    0.000070           6        11           mmap
  0.12    0.000032           8         4           mprotect
  0.12    0.000032          32         1           munmap
  0.10    0.000027           9         3           unlink
  0.09    0.000024           2         9           rt_sigaction
  0.08    0.000021           3         6           read
  0.08    0.000021           7         3           pipe2
  0.05    0.000014           3         4           ioctl
  0.05    0.000013           3         4           brk
  0.05    0.000012           3         4           pread64
  0.04    0.000010           3         3           prlimit64
  0.03    0.000007           3         2           getcwd
  0.02    0.000006           3         2         1 arch_prctl
  0.02    0.000004           4         1           futex
  0.01    0.000003           3         1           set_tid_address
  0.01    0.000003           3         1           set_robust_list
  0.01    0.000003           3         1           getrandom
  0.01    0.000003           3         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.026306          83       314       157 total
